月份,平均收盘价,最高收盘价,最低收盘价
1,42.82909090909091,49.18,37.32
2,43.46666666666667,47.44,33.25
3,50.45619047619047,55.0,46.29
4,46.2945,55.98,39.54
5,42.035000000000004,48.27,30.96
6,30.166842105263157,32.25,28.9
7,32.28565217391304,38.7,30.28
8,28.822727272727274,31.73,26.78
9,27.376315789473683,34.02,25.75
10,37.404444444444444,44.73,30.87
11,44.66809523809523,52.26,39.8
12,40.36272727272728,44.07,36.3
